,start station name,start station id,start station latitude,start station longitude,count
282,Bushwick Ave & Powers St,3083,40.71247661,-73.94100005,10758
283,Bushwick Ave & Stagg St,3765,40.709897,-73.94008,3225
284,Butler St & Court St,3303,40.6849894,-73.99440329,7499
285,Cabrini Blvd & W 177 St,4069,40.848282,-73.941343,1668
286,Cadman Plaza E & Johnson St,3723,40.69531727766904,-73.99015724658966,11678
287,Cadman Plaza E & Red Cross Pl,321,40.69991755,-73.98971773,14578
288,Cadman Plaza E & Tillary St,232,40.69597683,-73.99014892,496
289,Calyer St & Jewel St,3818,40.72984,-73.94839,6530
290,Cambridge Pl & Gates Ave,3049,40.68488,-73.96304,10891
291,Canal St & Rutgers St,307,40.71427487,-73.98990025,51845
292,Carlton Ave & Dean St,3537,40.6809741,-73.9710097,14106
293,Carlton Ave & Flushing Ave,242,40.697787,-73.973736,8539
294,Carlton Ave & Park Ave,419,40.69580705,-73.97355569,7676
295,Carmine St & 6 Ave,368,40.73038599,-74.00214988,72595
296,Carroll St & 5 Ave,3364,40.6751622,-73.9814832,11815
297,Carroll St & 6 Ave,3361,40.6740886,-73.9787282,10463
298,Carroll St & Bond St,3377,40.6786115,-73.99037292,9215
299,Carroll St & Columbia St,3389,40.6830456,-74.00348559,6006
300,Carroll St & Franklin Ave,3590,40.6679411,-73.9588,4175
301,Carroll St & Smith St,3382,40.680611,-73.99475825,11020
302,Carroll St & Washington Ave,3587,40.6686744,-73.9618148,3941
303,Cathedral Pkwy & Broadway,3383,40.804213,-73.96699104,27437
304,Catherine St & Monroe St,2009,40.71117444,-73.99682619,20785
305,Cauldwell Ave & E 158 St,4031,40.81989,-73.908351,343
306,Cauldwell Ave & E 161 St,3978,40.82188,-73.907521,950
307,Cedar St & Evergreen Ave,3847,40.69671,-73.92807,2927
308,Cedar St & Myrtle Ave,3761,40.697842,-73.926241,4703
309,Center Blvd & 48 Ave,3613,40.745038,-73.957539,14202
310,Center Blvd & 51 Ave,3726,40.74336608027021,-73.95960688591003,20399
311,Central Ave & Covert St,3864,40.68929,-73.90951,2253
312,Central Ave & Decatur St,3829,40.6882,-73.90798,2468
313,Central Ave & Flushing Ave,3770,40.702831,-73.9333,4910
314,Central Ave & Himrod St,3846,40.69676,-73.92302,4324
315,Central Ave & Melrose St,3907,40.70112,-73.93039,4297
316,Central Ave & Starr Street,3776,40.700003,-73.92834,5869
317,Central Ave & Weirfield St,3832,40.69055,-73.91181,4071
318,Central Ave & Woodbine St,3863,40.69296,-73.91605,3717
319,Central Park North & Adam Clayton Powell Blvd,3374,40.799484,-73.955613,52390
320,Central Park S & 6 Ave,2006,40.76590936,-73.97634151,70073
321,Central Park W & W 103 St,4123,40.79603684159984,-73.96158903853575,9165
322,Central Park W & W 91 St,4124,40.78866499127884,-73.96680057048798,13465
323,Central Park W & W 96 St,3295,40.79127,-73.964839,25733
324,Central Park W & W 97 St,4122,40.79249519495111,-73.96417066463071,19075
325,Central Park West & W 100 St,3320,40.79406660818552,-73.96286845207214,19973
326,Central Park West & W 102 St,3341,40.795346,-73.96186,5457
327,Central Park West & W 68 St,3163,40.7734066,-73.97782542,57718
328,Central Park West & W 72 St,3165,40.77579376683666,-73.9762057363987,62504
329,Central Park West & W 76 St,3160,40.77896784,-73.97374737,35249
330,Central Park West & W 82 St,3810,40.782593,-73.971211,924
331,Central Park West & W 85 St,3168,40.78472675,-73.96961715,20871
332,Central Park West & W 85 St,4075,40.78476,-73.969862,20361
333,Central Park West & W 85 St (old),3168,40.78472675,-73.96961715,1478
334,Centre St & Chambers St,387,40.71273266,-74.0046073,41427
335,Centre St & Seneca Ave,3884,40.69969,-73.9022,1856
336,Centre St & Worth St,386,40.71494807,-74.00234482,19754
337,Charlotte St & Boston Rd,4230,40.8358771,-73.8931428,29
338,Cherry St,332,40.71219906,-73.97948148,30066
339,Christopher St & Greenwich St,358,40.73291553,-74.00711384,84565
340,Clark St & Henry St,391,40.69760127,-73.99344559,23529
341,Classon Ave & St Marks Ave,3562,40.6765198,-73.9596082,12619
342,Clay Ave & Claremont Pkwy,4201,40.83999,-73.90549,707
343,Clay Ave & E 173 St,4108,40.843264,-73.904867,734
344,Clermont Ave & Lafayette Ave,420,40.68764484,-73.96968902,9692
345,Clermont Ave & Park Ave,421,40.69573398,-73.97129668,6305
346,Cleveland Pl & Spring St,151,40.722103786686034,-73.99724900722504,65473
347,Cliff St & Fulton St,3783,40.70838,-74.00495,30349
348,Clinton Ave & Flushing Ave,343,40.69794,-73.96986848,8209
349,Clinton Ave & Myrtle Ave,366,40.693261,-73.968896,18765
350,Clinton St & 4 Place,3396,40.6783563,-74.00014502,8489
