start_station_name,count,start_station_id,start_lat,start_lng
Adam Clayton Powell Blvd & W 138 St,16322,7855.03,40.816959,-73.942295
Adam Clayton Powell Blvd & W 141 St,9143,7893.05,40.819241,-73.941057
Adam Clayton Powell Blvd & W 151 St,5385,8009.05,40.825289,-73.936232
Adams St & Prospect St,7003,4821.1,40.700763,-73.988698
Adelphi St & Myrtle Ave,22775,4620.02,40.693082,-73.971789
Albany Ave & Fulton St,7348,4237.02,40.68001,-73.938475
Albany St & Greenwich St,34609,5145.02,40.709267,-74.013247
Albemarle Rd & McDonald Ave,2960,3166.03,40.645074,-73.979681
Alexander Ave & E 134 St,3755,7712.04,40.807466,-73.927107
Allen St & Hester St,62331,5342.1,40.716059,-73.991908
Allen St & Rivington St,63484,5414.06,40.720195,-73.989978
Allen St & Stanton St,63929,5484.09,40.722055,-73.989111
Amsterdam Ave & W 119 St,11815,7727.07,40.808624,-73.959621
Amsterdam Ave & W 125 St,12331,7800.03,40.813358,-73.956461
Amsterdam Ave & W 131 St,3692,7842.16,40.816355,-73.954295
Amsterdam Ave & W 136 St,5178,7920.05,40.819746,-73.951819
Amsterdam Ave & W 152 St,4112,8069.01,40.829523,-73.944279
Amsterdam Ave & W 156 St,3214,8104.1,40.832081,-73.942386
Amsterdam Ave & W 162 St,3550,8172.07,40.83618,-73.939789
Amsterdam Ave & W 167 St,3368,8206.17,40.839443,-73.937044
Amsterdam Ave & W 172 St,3024,8242.04,40.842173,-73.935111
Amsterdam Ave & W 175 St,3005,8278.05,40.844044,-73.933651
Amsterdam Ave & W 180 St,2643,8353.02,40.847396,-73.931205
Amsterdam Ave & W 183 St,2868,8353.09,40.84925,-73.93022
Amsterdam Ave & W 186 St,1513,8394.15,40.851113,-73.928808
Amsterdam Ave & W 189 St,1776,8432.04,40.853142,-73.927094
Amsterdam Ave & W 66 St,24511,7149.05,40.774667,-73.984705
Amsterdam Ave & W 73 St,68988,7260.09,40.779668,-73.98093
Amsterdam Ave & W 79 St,42077,7311.02,40.782939,-73.978651
Amsterdam Ave & W 82 St,43456,7360.1,40.785246,-73.976673
Anderson Ave & W 164 St,1181,8096.03,40.832057,-73.927421
Andrew Ave N & Hall of Fame Tce,984,8520.01,40.85834,-73.91008
Andrews Ave S & W 179 St,1152,8483.02,40.855156,-73.91278
Anthony Ave & E 175 St,797,8319.01,40.846465,-73.903869
Anthony Ave & E Burnside Ave,2,8419.03,40.75118387,-73.97138715
Anthony Ave & E Tremont Ave,1500,8356.04,40.848793,-73.903178
Aqueduct Ave & North St,821,8535.09,40.8604787,-73.90571699
Aqueduct Ave & W 190 St,892,8605.06,40.8649213,-73.9024238
Ashland Pl & Dekalb Ave,6550,4513.09,40.690065,-73.978776
Astoria Park S & Shore Blvd,13990,7159.08,40.7767,-73.927631
Atlantic Ave & Fort Greene Pl,26676,4354.07,40.683826,-73.976323
Atlantic Ave & Furman St,36169,4614.04,40.691651,-73.999978
Audobon Ave & W 179 St,2992,8316.02,40.847305,-73.933291
Audubon Ave & Fort George Ave,1194,8491.07,40.857157,-73.927173
Audubon Ave & W 192 St,813,8469.01,40.85564,-73.927128
Ave D & E 8 St,16134,5506.1,40.723683,-73.975748
Avenue C & E 18 St,24146,5769.04,40.730563,-73.973984
Avenue D & E 10 St,24025,5575.13,40.725065,-73.975158
Avenue D & E 12 St,522,5575.08,40.72580614,-73.97422494
Avenue D & E 3 St,36018,5436.09,40.720828,-73.977932
Avenue D & E 8 St,4962,5575.12,40.72387,-73.975767
Bailey Ave & Sedgwick Ave,577,8643.01,40.86571,-73.90857
Bailey Ave & W 193 St,1498,8676.01,40.87069,-73.90678
Bainbridge Ave & Bedford Park Blvd,1429,8682.06,40.87002,-73.88565
Bainbridge Ave & E 193 St,862,8582.02,40.86389,-73.89246
Bainbridge Ave & E 196 St,812,8615.01,40.86648,-73.89042
Bainbridge Ave & E 198 St,687,8649.03,40.8684871,-73.88845598
Baltic St & 5 Ave,18468,4208.11,40.679576,-73.978549
Bank St & Hudson St,45354,5922.08,40.736528,-74.00618
Bank St & Washington St,34848,5964.01,40.736196,-74.008592
Banker St & Meserole Ave,14359,5633.04,40.72606,-73.95621
Barclay St & Church St,22926,5216.04,40.712912,-74.010202
Barrow St & Hudson St,46650,5805.05,40.731724,-74.006744
Barry St & Tiffany St,684,7844.05,40.816126,-73.891559
Bay St & Court St,1849,3931.09,40.671409,-74.001328
Bayard St & Baxter St,43383,5351.03,40.716021,-73.999743
Bayard St & Leonard St,18633,5442.05,40.719155,-73.948853
Beaver St & Fayette St,12398,4840.06,40.70099,-73.93921
Beck St & Leggett Ave,2255,7807.04,40.815077,-73.899939
Bedford Ave & Bergen St,24380,4066.15,40.676368,-73.952918
Bedford Ave & Montgomery St,9363,3736.03,40.665816,-73.956934
Bedford Ave & Nassau Ave,35646,5550.05,40.723116,-73.952123
Bedford Ave & S 9 St,9098,5093.01,40.708531,-73.96409
Bedford Park Blvd & Paul Ave,1245,8752.01,40.87444,-73.89186
Bergen Ave & E 152 St,2489,7858.02,40.817166,-73.914737
Bergen St & 4 Ave,16621,4322.06,40.682564,-73.979897
Bergen St & Flatbush Ave,20568,4281.08,40.680944,-73.975673
Bergen St & Smith St,28741,4446.01,40.686744,-73.990632
Bergen St & Vanderbilt Ave,28710,4157.1,40.679438,-73.968043
Berkeley Pl & 6 Ave,12690,4134.06,40.67653,-73.978469
Berkeley Pl & 7 Ave,25819,4051.01,40.675146,-73.975232
Berry St & N 8 St,40665,5379.09,40.719009,-73.958525
Bialystoker Pl & Delancey St,20276,5335.03,40.716226,-73.982612
Bleecker St & Crosby St,30917,5679.08,40.726156,-73.995101
Bleecker St & Lafayette St,9,5679.08,40.726156,-73.995101
"Boerum Pl	& Pacific St",139,4488.09,40.688489,-73.99116
Boerum Pl\t& Pacific St,16060,4488.09,40.688489,-73.99116
Boerum St & Broadway,13684,5004.02,40.70538,-73.949765
Bond St & Bergen St,13794,4404.1,40.684967,-73.986208
Bond St & Fulton St,22665,4479.06,40.689621,-73.983042
Boone Ave & E 172 St,1951,8110.04,40.832649,-73.885272
Boston Rd & E 167 St,2126,8048.04,40.828199,-73.903719
Boston Rd & Prospect Ave,1667,8133.08,40.833246,-73.896599
Botanical Sq & Webster Ave,2319,8646.02,40.86814,-73.88145
Bradhurst Ave & W 148 St,6651,7992.04,40.825125,-73.941616
Bridge St & Water St,10200,4968.03,40.702969,-73.98469
Bridge St & York St,2149,4853.06,40.70133448,-73.98471236
Broad St & Bridge St,19708,4962.08,40.703651,-74.011677
Broad St & Water St,2688,4920.11,40.70293782,-74.01149355
Broadway & 12 St,6100,6708.04,40.760177,-73.984868
Broadway & 49 St,1577,6901.01,40.7668,-73.934777
Broadway & 51 St,3767,6587.04,40.755389,-73.911517
Broadway & Battery Pl,42615,6545.07,40.754164,-73.908906
Broadway & Berry St,40093,4962.01,40.704633,-74.013617
Broadway & E 14 St,99698,5164.04,40.710445,-73.96525
Broadway & E 21 St,50953,5905.12,40.734546,-73.990741
Broadway & E 22 St,12445,6098.1,40.73988841,-73.98958594
Broadway & Ellwood St,3042,6098.07,40.740343,-73.989551
Broadway & Furman Ave,2453,8547.04,40.862058,-73.929719
Broadway & Hancock St,6803,4244.06,40.68139,-73.90756
Broadway & Kosciuszko St,11171,4441.06,40.68663,-73.9168
Broadway & Madison St,10579,4608.01,40.69329,-73.92852
Broadway & Moylan Pl,11484,4483.1,40.68822,-73.91966
Broadway & Roebling St,21113,7823.03,40.814325,-73.959025
Broadway & W 122 St,10187,5125.07,40.709248,-73.960631
Broadway & W 131 St,7024,7783.18,40.812056,-73.961255
Broadway & W 133 St,9175,7865.09,40.817555,-73.957163
Broadway & W 142 St,3048,7903.02,40.819034,-73.956156
Broadway & W 153 St,3685,7981.16,40.824686,-73.951947
Broadway & W 155 St,6966,8089.05,40.831327,-73.946665
Broadway & W 160 St,8488,8123.02,40.83299,-73.94592
Broadway & W 165 St,3687,8157.06,40.835775,-73.9434
Broadway & W 168 St,5729,8191.01,40.839137,-73.941409
Broadway & W 185 St,4062,8226.06,40.840896,-73.93972
Broadway & W 192 St,3684,8416.07,40.852538,-73.93441
Broadway & W 220 St,4024,8511.08,40.857994,-73.932173
Broadway & W 25 St,102209,8715.01,40.872412,-73.912807
Broadway & W 29 St,62102,6173.08,40.742868,-73.989186
Broadway & W 36 St,34333,6289.06,40.7462,-73.988557
Broadway & W 37 St,24625,6441.01,40.750977,-73.987654
Broadway & W 38 St,35360,6441.02,40.751726,-73.987535
Broadway & W 41 St,64620,6441.05,40.752996,-73.987216
Broadway & W 49 St,6387,6560.01,40.755135,-73.98658
Broadway & W 51 St,62640,6708.02,40.760683,-73.984527
Broadway & W 53 St,20004,6779.04,40.762288,-73.983361
Broadway & W 56 St,39095,6779.05,40.76344,-73.982681
Broadway & W 58 St,64274,6847.02,40.765265,-73.981923
