end_station_name,count,end_station_id,end_lat,end_lng
6 Ave & 55 St,1070,3628.11,40.66016,-73.990974
6 Ave & 60 St,1686,3000.08,40.640831,-74.010996
6 Ave & 9 St,18814,2912.08,40.638196,-74.013821
6 Ave & Broome St,53958,3803.09,40.668127,-73.98377641
6 Ave & Canal St,28585,5610.09,40.72430832,-74.00473036
6 Ave & W 33 St,97003,5500.07,40.72243797,-74.00566443
6 Ave & W 34 St,73219,6364.07,40.74901271,-73.98848395
6 Ave & W 45 St,52636,6364.1,40.74964,-73.98805
6 St & 7 Ave,15920,6593.15,40.756951,-73.982631
6 St & Grand St,6,3834.1,40.6686627,-73.97988067
62 St & 4 Ave,587,HB302,40.74439783,-74.03450087
62 St & Northern Blvd,6843,2923.01,40.639859,-74.019776
63 St & 5 Ave,1120,6536.02,40.754176,-73.900318
64 St & 3 Ave,540,2872.02,40.63766,-74.01782
65 St & 2 Ave,620,2971.02,40.639978,-74.02324
67 St & Erik Pl,2017,3019.02,40.640493,-74.02564
67 St & Ridge Blvd,2594,2733.03,40.633385,-74.016562
7 Ave & 20 St,4757,2932.01,40.638799,-74.027472
7 Ave & 22 St,2087,3588.01,40.659053,-73.98854
7 Ave & 40 St,2625,3515.01,40.658029,-73.989605
7 Ave & 41 St,4210,3266.01,40.648169,-74.000057
7 Ave & Central Park South,91035,3192.05,40.647379,-74.000911
7 Ave & Park Pl,29609,6912.01,40.76674056,-73.97906899
7 St & 3 Ave,9337,4125.07,40.6776147,-73.97324283
7 St & 5 Ave,12503,3996.01,40.67260298,-73.98983002
7 St & Monroe St,1,3914.02,40.6704922,-73.98541675
76 St & 21 Ave,1061,HB304,40.74641265,-74.03797701
8 Ave & W 16 St,57576,7032.02,40.77028,-73.893675
8 Ave & W 27 St,28229,6072.11,40.740983,-74.001702
8 Ave & W 31 St,76448,6297.07,40.747968,-73.996637
8 Ave & W 33 St,78601,6450.05,40.75058535,-73.99468482
