,end_station_name,count,end_station_id,end_lat,end_lng
464,8 Ave & W 52 St,54209,6816.07,40.76370739,-73.9851615
465,8 St & Astoria Blvd,6848,7068.07,40.7725996921817,-73.93266275525093
466,8 St & Washington St,44,HB603,40.74598388291562,-74.02819901704788
467,81 St & 24 Ave,648,6855.02,40.76466,-73.88803
468,81 St & 34 Ave,4479,6561.01,40.75374,-73.88604
469,81 St & 35 Ave,3226,6442.08,40.75179,-73.88568
470,82 St & 30 Ave,1100,6748.04,40.76109,-73.88632
471,84 St & Roosevelt Ave,2528,6323.04,40.74797,-73.88204
472,85 St & Northern Blvd,1531,6594.02,40.75601,-73.88266
473,86 St & 35 Ave,2189,6475.07,40.7523,-73.88093
474,86 St & 37 Ave,1711,6399.06,40.75,-73.88062
475,87 St & 30 Ave,532,6780.06,40.76156,-73.88167
476,87 St & Roosevelt Ave,835,6356.01,40.74825,-73.87936
477,88 St & Astoria Blvd,534,6848.04,40.76424,-73.8812
478,9 Ave & W 18 St,69224,6190.08,40.74317449,-74.00366443
479,9 Ave & W 204 St,523,8559.04,40.86169883507865,-73.91855701804161
480,9 Ave & W 219 St,683,8696.05,40.871094,-73.911503
481,9 Ave & W 22 St,79445,6266.06,40.7454973,-74.00197139
482,9 Ave & W 39 St,56916,6644.08,40.756403523272496,-73.99410143494606
483,9 Ave & W 45 St,64738,6717.06,40.76019252,-73.9912551
484,9 St & 44 Rd,8391,6361.03,40.74966,-73.9521
485,9 St HBLR - Jackson St & 8 St,14,HB305,40.74790720968899,-74.03841152787209
486,90 St & 32 Ave,1488,6668.06,40.75836,-73.87824
487,90 St & 51 Ave,582,6080.07,40.73937,-73.87411
488,91 St & 23 Ave,545,6949.04,40.76769,-73.8791
489,91 St & 31 Ave,646,6741.03,40.76022,-73.87774
490,92 St & 23 Ave,3,6949.03,40.76768,-73.87899
491,92 St & 35 Ave,1953,6509.07,40.7529,-73.87536
492,92 St & 37 Ave,671,6433.01,40.75085,-73.87509
493,92 St & Astoria Blvd,565,6810.01,40.76313,-73.8772
494,93 St & Northern Blvd,1066,6627.12,40.7564,-73.87504
495,93 St & Roosevelt Ave,515,6390.05,40.74888,-73.87368
496,94 St & 57 Ave,1287,5920.03,40.73628,-73.86752
497,95 St & 35 Ave,585,6465.04,40.75301,-73.87266
498,96 St & Northern Blvd,581,6660.07,40.75712,-73.8722
499,97 St & 23 Ave,412,6941.03,40.7683,-73.87331
500,97 St & 57 Ave,591,5953.03,40.73727,-73.86415
501,98 St & 25 Ave,489,6840.02,40.76454,-73.87171
502,98 St & 41 Ave,302,6304.04,40.74773,-73.86649
503,99 St & 32 Ave,404,6660.05,40.75896,-73.86976
504,99 St & 35 Ave,588,6542.05,40.75404,-73.86887
505,99 St & 38 Ave,647,6423.03,40.75055,-73.86725
506,99 St & 50 Ave,240,6146.01,40.74278,-73.86226
507,99 St & 58 Ave,419,5987.03,40.73761,-73.85959
508,99 St & Astoria Blvd,625,6733.01,40.76196,-73.87042
509,Academy St & Nagle Ave,2161,8579.05,40.862562,-73.922661
510,Adam Clayton Powell Blvd & W 115 St,15605,7643.18,40.802535,-73.9532423
511,Adam Clayton Powell Blvd & W 118 St,18456,7670.09,40.804372,-73.951475
